date,longitude,latitude,rainfall_6h,rainfall_12h,rainfall_24h,ARI,slope_stability_factor,Terrain_Vulnerability_Index,landslide
2015-09-28,76.830453,31.321095,0.000000,0.000000,0.000000,0.000000,0.975545,0.100000,0
2015-07-13,96.016807,27.141523,0.111000,0.111000,0.111000,19.631588,0.967697,0.100000,0
2021-09-20,78.228773,33.408941,0.000000,0.000000,0.000000,0.000000,0.946473,0.900000,0
2017-07-13,77.970682,30.244378,0.000000,0.000000,14.507248,11.605798,0.998245,0.100000,1
2021-08-16,97.352989,28.681808,0.000000,0.168775,0.168775,0.718519,0.943561,0.100000,0
2021-07-19,95.904906,27.180946,0.000000,0.055862,0.621772,8.216665,0.969534,0.100000,0
2021-07-26,78.723398,32.055646,0.430084,0.459011,2.980605,10.758061,0.931920,0.900000,0
2019-06-17,95.833369,28.868382,13.113729,14.621380,28.683154,45.132003,0.983665,0.100000,0
2016-08-29,76.468156,34.885475,0.000000,0.000000,0.327848,0.417381,0.945284,0.900000,0
2015-08-24,78.034025,31.375950,2.187854,6.244817,7.659548,18.555974,0.968697,0.900000,0
2015-08-10,78.961059,29.547370,21.254415,21.437717,21.437717,45.848261,0.984862,0.100000,0
2020-06-29,79.830823,30.891538,0.156283,0.280255,0.280255,6.295856,0.961480,0.900000,0
2021-09-13,89.478642,26.503427,0.690463,0.690463,1.096732,84.689861,0.998340,0.100000,0
2016-09-26,78.060299,29.682999,0.000000,0.000000,0.000000,0.000000,0.999675,0.450000,0
2015-06-08,79.573097,32.771182,0.000000,0.000000,0.007724,0.363901,0.980827,0.900000,0
2020-06-29,78.119516,35.235443,0.000000,0.000000,0.000000,0.000000,0.994480,0.900000,0
2018-06-25,91.752863,28.324985,1.385294,2.250888,2.250888,5.134974,0.982011,0.650000,0
2019-07-08,94.285295,27.617927,12.764986,13.336498,13.449475,122.558295,0.985208,0.100000,0
2022-07-04,76.747314,31.355110,0.697562,0.732727,3.294563,33.357908,0.989995,0.100000,0
2017-07-09,93.180065,26.553842,0.000000,0.307356,0.775313,8.673437,0.983802,0.100000,1
2016-06-13,88.019304,27.924796,0.146400,0.146400,0.146400,0.150144,0.980780,0.100000,0
2018-07-09,78.970284,33.139480,0.000000,0.000000,0.000000,0.000000,0.930143,0.900000,0
2019-06-03,76.478087,35.380006,0.156605,0.187273,0.287837,0.471541,0.925003,0.900000,0
2015-07-06,95.470328,28.355498,0.635011,0.930506,1.138215,39.284700,0.944888,0.100000,0
2021-09-13,79.195983,29.013181,0.011326,0.011326,0.011326,54.842213,0.999389,0.450000,0
2017-05-20,79.604806,30.586865,0.000000,0.000000,0.000000,5.629113,0.925293,0.650000,1
2022-08-01,78.998735,34.166576,0.000000,0.000000,0.000000,0.008426,0.979071,0.900000,0
2017-07-24,78.836325,34.366929,0.000000,0.000000,0.000000,0.000341,0.960597,0.900000,0
2021-08-23,95.759196,28.807501,0.000000,1.517224,1.542159,9.011459,0.970928,0.100000,0
2021-09-13,76.422754,32.473215,0.181945,1.969556,31.018260,58.525708,0.976200,0.100000,0
2017-06-21,85.080585,27.478387,23.701127,39.186941,42.349968,48.196910,0.903822,0.550000,1
2020-08-31,92.677898,29.284308,0.168727,0.168727,10.480014,15.723276,0.957501,0.650000,0
2021-09-06,94.792066,26.970795,0.224209,0.224209,0.257708,12.610574,0.999604,0.100000,0
2022-07-25,95.651727,28.847887,0.371738,1.910556,1.924260,31.712350,0.956270,0.100000,0
2016-07-24,87.119240,27.221550,0.000000,0.000000,9.869386,57.789350,0.951157,0.100000,1
2018-08-20,79.867053,33.765375,0.000000,0.000000,0.000000,10.599532,0.973984,0.900000,0
2015-09-07,92.275094,26.670322,0.000000,0.000000,0.000000,17.492364,0.999086,0.450000,0
2019-07-08,95.074794,29.363761,25.643595,56.589920,79.752095,89.546562,0.914961,0.100000,0
2015-11-11,83.411144,28.106197,42.991065,44.006594,45.377852,63.799688,0.985751,0.100000,1
2021-09-06,91.733158,29.356316,3.286500,4.801856,4.842806,9.210208,0.948936,0.650000,0
2021-08-09,78.454890,29.065963,5.199868,5.401406,5.836332,38.114623,0.999666,0.450000,0
2020-06-22,79.267093,34.985645,0.000000,0.000000,0.000000,0.000000,0.998869,0.900000,0
2019-09-09,79.740551,35.740874,0.000000,0.000000,0.000000,0.000000,0.983584,0.100000,0
2018-09-24,96.846349,28.447041,0.000000,0.000000,0.000000,0.221551,0.986914,0.550000,0
2015-06-29,81.635551,29.474953,0.000000,0.000000,0.213650,4.047432,0.987299,0.100000,1
2021-07-05,77.986391,31.650820,0.000000,0.000000,0.000000,15.744721,0.934139,0.650000,0
2017-08-21,79.842884,31.195565,0.000000,0.000000,0.000000,0.172939,0.973765,0.900000,0
2020-09-28,76.541669,35.166888,0.000000,0.000000,0.000000,0.208766,0.944062,0.900000,0
2019-07-22,91.846356,26.566826,1.030832,1.312091,2.231687,78.871516,0.999429,0.450000,0
2020-08-31,78.918027,32.411207,0.000000,0.000000,0.000000,0.000000,0.990580,0.900000,0
2019-08-26,97.109780,28.666720,0.000000,0.000000,0.000000,0.320960,0.941298,0.100000,0
2020-06-08,75.622479,32.676073,0.000000,0.070993,0.537673,6.754001,0.951323,0.100000,0
2021-09-27,91.235767,26.990157,0.000000,0.000000,6.272961,31.250563,0.968014,0.100000,0
2016-07-04,95.812086,29.304310,0.000000,1.703736,2.089314,29.337877,0.967020,0.550000,0
2017-07-03,91.915562,26.245199,1.244808,9.613076,13.470345,16.320620,0.999475,0.100000,1
2018-07-16,95.523941,28.166988,1.352594,1.990819,7.577185,29.800372,0.970637,0.100000,0
2016-09-19,95.374592,27.322037,0.000000,0.000000,9.996914,24.391735,0.999275,0.100000,0
2017-09-25,97.322254,29.146764,0.000000,0.000000,0.000000,2.191488,0.949521,0.100000,0
2022-06-13,96.477059,28.118274,0.347981,0.499818,2.584009,15.341834,0.934835,0.100000,0
2019-06-24,91.847096,28.194335,0.000000,0.000000,0.000000,0.000000,0.965120,0.900000,0
2017-06-12,75.828283,32.522433,0.000000,0.000000,0.562069,2.866561,0.976939,0.100000,0
2019-07-01,96.995975,28.472424,0.000000,0.082759,0.515735,3.362618,0.904399,0.100000,0
2015-08-24,96.668043,28.729175,0.000000,0.170316,0.337602,15.728669,0.905255,0.650000,0
2019-09-30,79.018958,30.970760,2.419592,2.419592,4.820288,25.519433,0.976099,0.650000,0
2018-08-13,77.241525,30.952642,91.302935,92.629102,113.852665,199.588444,0.976620,0.100000,0
2020-06-29,79.994176,32.581970,0.020147,0.020147,0.020147,0.078150,0.975962,0.900000,0
2021-07-26,89.468051,27.797058,0.126228,7.086053,9.631332,18.747441,0.985213,0.650000,0
2017-08-07,91.270936,28.619470,0.000000,0.725927,7.301939,15.355667,0.979308,0.650000,0
2016-07-21,88.502647,26.935372,25.249778,51.546162,52.407616,128.574496,0.970336,0.100000,1
2021-09-27,97.312301,26.529486,0.605206,0.605206,2.089892,13.624945,0.949101,0.100000,0
